pair_index,pair_id,viewpoint_1,viewpoint_2,expected_train_images,expected_val_images,expected_test_pair_images,pilot_rank,pilot_name,pilot_note
47,p0047,ellow-radnear-az000,elmid-radfar-az315,289,60,61,,,
48,p0048,ellow-radnear-az000,elhigh-radnear-az000,282,59,69,,,
49,p0049,ellow-radnear-az000,elhigh-radnear-az045,293,59,58,,,
50,p0050,ellow-radnear-az000,elhigh-radnear-az090,282,65,63,,,
51,p0051,ellow-radnear-az000,elhigh-radnear-az135,278,65,67,,,
52,p0052,ellow-radnear-az000,elhigh-radnear-az180,287,57,66,,,
53,p0053,ellow-radnear-az000,elhigh-radnear-az225,272,67,71,,,
54,p0054,ellow-radnear-az000,elhigh-radnear-az270,284,61,65,,,
55,p0055,ellow-radnear-az000,elhigh-radnear-az315,281,65,64,,,
56,p0056,ellow-radnear-az000,elhigh-radmid-az000,278,54,78,,,
57,p0057,ellow-radnear-az000,elhigh-radmid-az045,288,57,65,,,
58,p0058,ellow-radnear-az000,elhigh-radmid-az090,282,59,69,,,
59,p0059,ellow-radnear-az000,elhigh-radmid-az135,282,63,65,,,
60,p0060,ellow-radnear-az000,elhigh-radmid-az180,277,68,65,,,
61,p0061,ellow-radnear-az000,elhigh-radmid-az225,271,68,71,,,
62,p0062,ellow-radnear-az000,elhigh-radmid-az270,288,60,62,,,
63,p0063,ellow-radnear-az000,elhigh-radmid-az315,291,60,59,,,
64,p0064,ellow-radnear-az000,elhigh-radfar-az000,295,51,64,,,
65,p0065,ellow-radnear-az000,elhigh-radfar-az045,264,72,74,,,
66,p0066,ellow-radnear-az000,elhigh-radfar-az090,288,58,64,,,
67,p0067,ellow-radnear-az000,elhigh-radfar-az135,294,56,60,,,
68,p0068,ellow-radnear-az000,elhigh-radfar-az180,288,62,60,,,
69,p0069,ellow-radnear-az000,elhigh-radfar-az225,291,57,62,,,
70,p0070,ellow-radnear-az000,elhigh-radfar-az270,285,60,65,,,
71,p0071,ellow-radnear-az000,elhigh-radfar-az315,285,60,65,,,
72,p0072,ellow-radnear-az045,ellow-radnear-az090,294,52,64,,,
73,p0073,ellow-radnear-az045,ellow-radnear-az135,294,52,64,,,
74,p0074,ellow-radnear-az045,ellow-radnear-az180,281,58,71,,,
75,p0075,ellow-radnear-az045,ellow-radnear-az225,285,57,68,,,
76,p0076,ellow-radnear-az045,ellow-radnear-az270,296,52,62,,,
77,p0077,ellow-radnear-az045,ellow-radnear-az315,286,63,61,,,
78,p0078,ellow-radnear-az045,ellow-radmid-az000,293,54,63,,,
79,p0079,ellow-radnear-az045,ellow-radmid-az045,289,52,69,,,
80,p0080,ellow-radnear-az045,ellow-radmid-az090,293,53,64,,,
81,p0081,ellow-radnear-az045,ellow-radmid-az135,292,56,62,,,
82,p0082,ellow-radnear-az045,ellow-radmid-az180,298,59,53,,,
83,p0083,ellow-radnear-az045,ellow-radmid-az225,301,48,61,,,
84,p0084,ellow-radnear-az045,ellow-radmid-az270,288,64,58,,,
85,p0085,ellow-radnear-az045,ellow-radmid-az315,298,47,65,,,
86,p0086,ellow-radnear-az045,ellow-radfar-az000,282,57,71,,,
87,p0087,ellow-radnear-az045,ellow-radfar-az045,294,62,54,,,
88,p0088,ellow-radnear-az045,ellow-radfar-az090,286,64,60,,,
89,p0089,ellow-radnear-az045,ellow-radfar-az135,291,51,68,,,
90,p0090,ellow-radnear-az045,ellow-radfar-az180,291,62,57,,,
91,p0091,ellow-radnear-az045,ellow-radfar-az225,287,61,62,,,
92,p0092,ellow-radnear-az045,ellow-radfar-az270,283,63,64,,,
93,p0093,ellow-radnear-az045,ellow-radfar-az315,295,55,60,,,
94,p0094,ellow-radnear-az045,elmid-radnear-az000,294,63,53,,,
95,p0095,ellow-radnear-az045,elmid-radnear-az045,284,62,64,,,
96,p0096,ellow-radnear-az045,elmid-radnear-az090,296,51,63,,,
97,p0097,ellow-radnear-az045,elmid-radnear-az135,288,47,75,,,
98,p0098,ellow-radnear-az045,elmid-radnear-az180,290,56,64,,,
99,p0099,ellow-radnear-az045,elmid-radnear-az225,292,61,57,,,
100,p0100,ellow-radnear-az045,elmid-radnear-az270,280,55,75,,,
101,p0101,ellow-radnear-az045,elmid-radnear-az315,288,57,65,,,
102,p0102,ellow-radnear-az045,elmid-radmid-az000,284,52,74,,,
103,p0103,ellow-radnear-az045,elmid-radmid-az045,281,62,67,,,
104,p0104,ellow-radnear-az045,elmid-radmid-az090,286,63,61,,,
105,p0105,ellow-radnear-az045,elmid-radmid-az135,293,65,52,,,
106,p0106,ellow-radnear-az045,elmid-radmid-az180,295,52,63,,,
107,p0107,ellow-radnear-az045,elmid-radmid-az225,297,59,54,,,
108,p0108,ellow-radnear-az045,elmid-radmid-az270,284,54,72,,,
109,p0109,ellow-radnear-az045,elmid-radmid-az315,292,57,61,,,
110,p0110,ellow-radnear-az045,elmid-radfar-az000,295,56,59,,,
111,p0111,ellow-radnear-az045,elmid-radfar-az045,285,63,62,,,
112,p0112,ellow-radnear-az045,elmid-radfar-az090,285,64,61,,,
113,p0113,ellow-radnear-az045,elmid-radfar-az135,292,55,63,,,
114,p0114,ellow-radnear-az045,elmid-radfar-az180,297,55,58,,,
115,p0115,ellow-radnear-az045,elmid-radfar-az225,279,63,68,,,
116,p0116,ellow-radnear-az045,elmid-radfar-az270,291,61,58,,,
117,p0117,ellow-radnear-az045,elmid-radfar-az315,294,58,58,,,
118,p0118,ellow-radnear-az045,elhigh-radnear-az000,287,57,66,,,
119,p0119,ellow-radnear-az045,elhigh-radnear-az045,298,57,55,,,
120,p0120,ellow-radnear-az045,elhigh-radnear-az090,287,63,60,,,
121,p0121,ellow-radnear-az045,elhigh-radnear-az135,283,63,64,,,
122,p0122,ellow-radnear-az045,elhigh-radnear-az180,292,55,63,,,
123,p0123,ellow-radnear-az045,elhigh-radnear-az225,277,65,68,,,
124,p0124,ellow-radnear-az045,elhigh-radnear-az270,289,59,62,,,
125,p0125,ellow-radnear-az045,elhigh-radnear-az315,286,63,61,,,
126,p0126,ellow-radnear-az045,elhigh-radmid-az000,283,52,75,,,
127,p0127,ellow-radnear-az045,elhigh-radmid-az045,293,55,62,,,
128,p0128,ellow-radnear-az045,elhigh-radmid-az090,287,57,66,,,
129,p0129,ellow-radnear-az045,elhigh-radmid-az135,287,61,62,,,
130,p0130,ellow-radnear-az045,elhigh-radmid-az180,282,66,62,,,
131,p0131,ellow-radnear-az045,elhigh-radmid-az225,276,66,68,,,
132,p0132,ellow-radnear-az045,elhigh-radmid-az270,293,58,59,,,
133,p0133,ellow-radnear-az045,elhigh-radmid-az315,296,58,56,,,
134,p0134,ellow-radnear-az045,elhigh-radfar-az000,300,49,61,,,
135,p0135,ellow-radnear-az045,elhigh-radfar-az045,269,70,71,,,
136,p0136,ellow-radnear-az045,elhigh-radfar-az090,293,56,61,,,
137,p0137,ellow-radnear-az045,elhigh-radfar-az135,299,54,57,,,
138,p0138,ellow-radnear-az045,elhigh-radfar-az180,293,60,57,,,
139,p0139,ellow-radnear-az045,elhigh-radfar-az225,296,55,59,,,
140,p0140,ellow-radnear-az045,elhigh-radfar-az270,290,58,62,,,
141,p0141,ellow-radnear-az045,elhigh-radfar-az315,290,58,62,,,
142,p0142,ellow-radnear-az090,ellow-radnear-az135,296,50,64,,,
143,p0143,ellow-radnear-az090,ellow-radnear-az180,283,56,71,,,
144,p0144,ellow-radnear-az090,ellow-radnear-az225,287,55,68,,,
145,p0145,ellow-radnear-az090,ellow-radnear-az270,298,50,62,,,
146,p0146,ellow-radnear-az090,ellow-radnear-az315,288,61,61,,,
147,p0147,ellow-radnear-az090,ellow-radmid-az000,295,52,63,,,
148,p0148,ellow-radnear-az090,ellow-radmid-az045,291,50,69,,,
149,p0149,ellow-radnear-az090,ellow-radmid-az090,295,51,64,,,
150,p0150,ellow-radnear-az090,ellow-radmid-az135,294,54,62,,,
151,p0151,ellow-radnear-az090,ellow-radmid-az180,300,57,53,,,
152,p0152,ellow-radnear-az090,ellow-radmid-az225,303,46,61,,,
153,p0153,ellow-radnear-az090,ellow-radmid-az270,290,62,58,,,
154,p0154,ellow-radnear-az090,ellow-radmid-az315,300,45,65,,,
155,p0155,ellow-radnear-az090,ellow-radfar-az000,284,55,71,,,
156,p0156,ellow-radnear-az090,ellow-radfar-az045,296,60,54,,,
157,p0157,ellow-radnear-az090,ellow-radfar-az090,288,62,60,,,
158,p0158,ellow-radnear-az090,ellow-radfar-az135,293,49,68,,,
159,p0159,ellow-radnear-az090,ellow-radfar-az180,293,60,57,,,
160,p0160,ellow-radnear-az090,ellow-radfar-az225,289,59,62,,,
161,p0161,ellow-radnear-az090,ellow-radfar-az270,285,61,64,,,
162,p0162,ellow-radnear-az090,ellow-radfar-az315,297,53,60,,,
163,p0163,ellow-radnear-az090,elmid-radnear-az000,296,61,53,,,
164,p0164,ellow-radnear-az090,elmid-radnear-az045,286,60,64,,,
165,p0165,ellow-radnear-az090,elmid-radnear-az090,298,49,63,,,
166,p0166,ellow-radnear-az090,elmid-radnear-az135,290,45,75,,,
167,p0167,ellow-radnear-az090,elmid-radnear-az180,292,54,64,,,
168,p0168,ellow-radnear-az090,elmid-radnear-az225,294,59,57,,,
169,p0169,ellow-radnear-az090,elmid-radnear-az270,282,53,75,,,
170,p0170,ellow-radnear-az090,elmid-radnear-az315,290,55,65,,,
171,p0171,ellow-radnear-az090,elmid-radmid-az000,286,50,74,,,
172,p0172,ellow-radnear-az090,elmid-radmid-az045,283,60,67,,,
173,p0173,ellow-radnear-az090,elmid-radmid-az090,288,61,61,,,
174,p0174,ellow-radnear-az090,elmid-radmid-az135,295,63,52,,,
175,p0175,ellow-radnear-az090,elmid-radmid-az180,297,50,63,,,
176,p0176,ellow-radnear-az090,elmid-radmid-az225,299,57,54,,,
177,p0177,ellow-radnear-az090,elmid-radmid-az270,286,52,72,,,
178,p0178,ellow-radnear-az090,elmid-radmid-az315,294,55,61,,,
179,p0179,ellow-radnear-az090,elmid-radfar-az000,297,54,59,,,
180,p0180,ellow-radnear-az090,elmid-radfar-az045,287,61,62,,,
181,p0181,ellow-radnear-az090,elmid-radfar-az090,287,62,61,,,
182,p0182,ellow-radnear-az090,elmid-radfar-az135,294,53,63,,,
183,p0183,ellow-radnear-az090,elmid-radfar-az180,299,53,58,,,
184,p0184,ellow-radnear-az090,elmid-radfar-az225,281,61,68,,,
185,p0185,ellow-radnear-az090,elmid-radfar-az270,293,59,58,,,
186,p0186,ellow-radnear-az090,elmid-radfar-az315,296,56,58,,,
187,p0187,ellow-radnear-az090,elhigh-radnear-az000,289,55,66,,,
188,p0188,ellow-radnear-az090,elhigh-radnear-az045,300,55,55,,,
189,p0189,ellow-radnear-az090,elhigh-radnear-az090,289,61,60,,,
190,p0190,ellow-radnear-az090,elhigh-radnear-az135,285,61,64,,,
191,p0191,ellow-radnear-az090,elhigh-radnear-az180,294,53,63,,,
192,p0192,ellow-radnear-az090,elhigh-radnear-az225,279,63,68,,,
193,p0193,ellow-radnear-az090,elhigh-radnear-az270,291,57,62,,,
194,p0194,ellow-radnear-az090,elhigh-radnear-az315,288,61,61,,,
195,p0195,ellow-radnear-az090,elhigh-radmid-az000,285,50,75,,,
196,p0196,ellow-radnear-az090,elhigh-radmid-az045,295,53,62,,,
197,p0197,ellow-radnear-az090,elhigh-radmid-az090,289,55,66,,,
198,p0198,ellow-radnear-az090,elhigh-radmid-az135,289,59,62,,,
199,p0199,ellow-radnear-az090,elhigh-radmid-az180,284,64,62,,,
200,p0200,ellow-radnear-az090,elhigh-radmid-az225,278,64,68,,,
201,p0201,ellow-radnear-az090,elhigh-radmid-az270,295,56,59,,,
202,p0202,ellow-radnear-az090,elhigh-radmid-az315,298,56,56,,,
203,p0203,ellow-radnear-az090,elhigh-radfar-az000,302,47,61,,,
204,p0204,ellow-radnear-az090,elhigh-radfar-az045,271,68,71,,,
205,p0205,ellow-radnear-az090,elhigh-radfar-az090,295,54,61,,,
206,p0206,ellow-radnear-az090,elhigh-radfar-az135,301,52,57,,,
207,p0207,ellow-radnear-az090,elhigh-radfar-az180,295,58,57,,,
208,p0208,ellow-radnear-az090,elhigh-radfar-az225,298,53,59,,,
209,p0209,ellow-radnear-az090,elhigh-radfar-az270,292,56,62,,,
210,p0210,ellow-radnear-az090,elhigh-radfar-az315,292,56,62,,,
211,p0211,ellow-radnear-az135,ellow-radnear-az180,283,56,71,,,
212,p0212,ellow-radnear-az135,ellow-radnear-az225,287,55,68,,,
213,p0213,ellow-radnear-az135,ellow-radnear-az270,298,50,62,,,
214,p0214,ellow-radnear-az135,ellow-radnear-az315,288,61,61,,,
215,p0215,ellow-radnear-az135,ellow-radmid-az000,295,52,63,,,
216,p0216,ellow-radnear-az135,ellow-radmid-az045,291,50,69,,,
217,p0217,ellow-radnear-az135,ellow-radmid-az090,295,51,64,,,
218,p0218,ellow-radnear-az135,ellow-radmid-az135,294,54,62,,,
219,p0219,ellow-radnear-az135,ellow-radmid-az180,300,57,53,,,
220,p0220,ellow-radnear-az135,ellow-radmid-az225,303,46,61,,,
221,p0221,ellow-radnear-az135,ellow-radmid-az270,290,62,58,,,
222,p0222,ellow-radnear-az135,ellow-radmid-az315,300,45,65,,,
223,p0223,ellow-radnear-az135,ellow-radfar-az000,284,55,71,,,
224,p0224,ellow-radnear-az135,ellow-radfar-az045,296,60,54,,,
225,p0225,ellow-radnear-az135,ellow-radfar-az090,288,62,60,,,
226,p0226,ellow-radnear-az135,ellow-radfar-az135,293,49,68,,,
227,p0227,ellow-radnear-az135,ellow-radfar-az180,293,60,57,,,
228,p0228,ellow-radnear-az135,ellow-radfar-az225,289,59,62,,,
229,p0229,ellow-radnear-az135,ellow-radfar-az270,285,61,64,,,
230,p0230,ellow-radnear-az135,ellow-radfar-az315,297,53,60,,,
231,p0231,ellow-radnear-az135,elmid-radnear-az000,296,61,53,,,
232,p0232,ellow-radnear-az135,elmid-radnear-az045,286,60,64,,,
233,p0233,ellow-radnear-az135,elmid-radnear-az090,298,49,63,,,
234,p0234,ellow-radnear-az135,elmid-radnear-az135,290,45,75,,,
235,p0235,ellow-radnear-az135,elmid-radnear-az180,292,54,64,,,
236,p0236,ellow-radnear-az135,elmid-radnear-az225,294,59,57,,,
237,p0237,ellow-radnear-az135,elmid-radnear-az270,282,53,75,,,
238,p0238,ellow-radnear-az135,elmid-radnear-az315,290,55,65,,,
239,p0239,ellow-radnear-az135,elmid-radmid-az000,286,50,74,,,
240,p0240,ellow-radnear-az135,elmid-radmid-az045,283,60,67,,,
241,p0241,ellow-radnear-az135,elmid-radmid-az090,288,61,61,,,
242,p0242,ellow-radnear-az135,elmid-radmid-az135,295,63,52,,,
243,p0243,ellow-radnear-az135,elmid-radmid-az180,297,50,63,,,
244,p0244,ellow-radnear-az135,elmid-radmid-az225,299,57,54,,,
245,p0245,ellow-radnear-az135,elmid-radmid-az270,286,52,72,,,
246,p0246,ellow-radnear-az135,elmid-radmid-az315,294,55,61,,,
247,p0247,ellow-radnear-az135,elmid-radfar-az000,297,54,59,,,
248,p0248,ellow-radnear-az135,elmid-radfar-az045,287,61,62,,,
249,p0249,ellow-radnear-az135,elmid-radfar-az090,287,62,61,,,
250,p0250,ellow-radnear-az135,elmid-radfar-az135,294,53,63,,,
251,p0251,ellow-radnear-az135,elmid-radfar-az180,299,53,58,,,
252,p0252,ellow-radnear-az135,elmid-radfar-az225,281,61,68,,,
253,p0253,ellow-radnear-az135,elmid-radfar-az270,293,59,58,,,
254,p0254,ellow-radnear-az135,elmid-radfar-az315,296,56,58,,,
255,p0255,ellow-radnear-az135,elhigh-radnear-az000,289,55,66,,,
256,p0256,ellow-radnear-az135,elhigh-radnear-az045,300,55,55,,,
257,p0257,ellow-radnear-az135,elhigh-radnear-az090,289,61,60,,,
258,p0258,ellow-radnear-az135,elhigh-radnear-az135,285,61,64,,,
259,p0259,ellow-radnear-az135,elhigh-radnear-az180,294,53,63,,,
260,p0260,ellow-radnear-az135,elhigh-radnear-az225,279,63,68,,,
261,p0261,ellow-radnear-az135,elhigh-radnear-az270,291,57,62,,,
262,p0262,ellow-radnear-az135,elhigh-radnear-az315,288,61,61,,,
263,p0263,ellow-radnear-az135,elhigh-radmid-az000,285,50,75,,,
264,p0264,ellow-radnear-az135,elhigh-radmid-az045,295,53,62,,,
265,p0265,ellow-radnear-az135,elhigh-radmid-az090,289,55,66,,,
266,p0266,ellow-radnear-az135,elhigh-radmid-az135,289,59,62,,,
267,p0267,ellow-radnear-az135,elhigh-radmid-az180,284,64,62,,,
268,p0268,ellow-radnear-az135,elhigh-radmid-az225,278,64,68,,,
269,p0269,ellow-radnear-az135,elhigh-radmid-az270,295,56,59,,,
270,p0270,ellow-radnear-az135,elhigh-radmid-az315,298,56,56,,,
271,p0271,ellow-radnear-az135,elhigh-radfar-az000,302,47,61,,,
272,p0272,ellow-radnear-az135,elhigh-radfar-az045,271,68,71,,,
273,p0273,ellow-radnear-az135,elhigh-radfar-az090,295,54,61,,,
274,p0274,ellow-radnear-az135,elhigh-radfar-az135,301,52,57,,,
275,p0275,ellow-radnear-az135,elhigh-radfar-az180,295,58,57,,,
276,p0276,ellow-radnear-az135,elhigh-radfar-az225,298,53,59,,,
277,p0277,ellow-radnear-az135,elhigh-radfar-az270,292,56,62,,,
278,p0278,ellow-radnear-az135,elhigh-radfar-az315,292,56,62,,,
279,p0279,ellow-radnear-az180,ellow-radnear-az225,274,61,75,,,
280,p0280,ellow-radnear-az180,ellow-radnear-az270,285,56,69,,,
281,p0281,ellow-radnear-az180,ellow-radnear-az315,275,67,68,,,
282,p0282,ellow-radnear-az180,ellow-radmid-az000,282,58,70,,,
283,p0283,ellow-radnear-az180,ellow-radmid-az045,278,56,76,,,
284,p0284,ellow-radnear-az180,ellow-radmid-az090,282,57,71,,,
285,p0285,ellow-radnear-az180,ellow-radmid-az135,281,60,69,,,
286,p0286,ellow-radnear-az180,ellow-radmid-az180,287,63,60,,,
287,p0287,ellow-radnear-az180,ellow-radmid-az225,290,52,68,,,
288,p0288,ellow-radnear-az180,ellow-radmid-az270,277,68,65,,,
289,p0289,ellow-radnear-az180,ellow-radmid-az315,287,51,72,,,
290,p0290,ellow-radnear-az180,ellow-radfar-az000,271,61,78,,,
291,p0291,ellow-radnear-az180,ellow-radfar-az045,283,66,61,,,
292,p0292,ellow-radnear-az180,ellow-radfar-az090,275,68,67,,,
293,p0293,ellow-radnear-az180,ellow-radfar-az135,280,55,75,,,
294,p0294,ellow-radnear-az180,ellow-radfar-az180,280,66,64,,,
295,p0295,ellow-radnear-az180,ellow-radfar-az225,276,65,69,,,
296,p0296,ellow-radnear-az180,ellow-radfar-az270,272,67,71,,,
297,p0297,ellow-radnear-az180,ellow-radfar-az315,284,59,67,,,
298,p0298,ellow-radnear-az180,elmid-radnear-az000,283,67,60,,,
299,p0299,ellow-radnear-az180,elmid-radnear-az045,273,66,71,,,
300,p0300,ellow-radnear-az180,elmid-radnear-az090,285,55,70,,,
301,p0301,ellow-radnear-az180,elmid-radnear-az135,277,51,82,,,
302,p0302,ellow-radnear-az180,elmid-radnear-az180,279,60,71,,,
303,p0303,ellow-radnear-az180,elmid-radnear-az225,281,65,64,,,
304,p0304,ellow-radnear-az180,elmid-radnear-az270,269,59,82,,,
305,p0305,ellow-radnear-az180,elmid-radnear-az315,277,61,72,,,
306,p0306,ellow-radnear-az180,elmid-radmid-az000,273,56,81,,,
307,p0307,ellow-radnear-az180,elmid-radmid-az045,270,66,74,,,
308,p0308,ellow-radnear-az180,elmid-radmid-az090,275,67,68,,,
309,p0309,ellow-radnear-az180,elmid-radmid-az135,282,69,59,,,
310,p0310,ellow-radnear-az180,elmid-radmid-az180,284,56,70,,,
311,p0311,ellow-radnear-az180,elmid-radmid-az225,286,63,61,,,
312,p0312,ellow-radnear-az180,elmid-radmid-az270,273,58,79,,,
313,p0313,ellow-radnear-az180,elmid-radmid-az315,281,61,68,,,
314,p0314,ellow-radnear-az180,elmid-radfar-az000,284,60,66,,,
315,p0315,ellow-radnear-az180,elmid-radfar-az045,274,67,69,,,
316,p0316,ellow-radnear-az180,elmid-radfar-az090,274,68,68,,,
317,p0317,ellow-radnear-az180,elmid-radfar-az135,281,59,70,,,
318,p0318,ellow-radnear-az180,elmid-radfar-az180,286,59,65,,,
319,p0319,ellow-radnear-az180,elmid-radfar-az225,268,67,75,,,
320,p0320,ellow-radnear-az180,elmid-radfar-az270,280,65,65,,,
321,p0321,ellow-radnear-az180,elmid-radfar-az315,283,62,65,,,
322,p0322,ellow-radnear-az180,elhigh-radnear-az000,276,61,73,,,
323,p0323,ellow-radnear-az180,elhigh-radnear-az045,287,61,62,,,
324,p0324,ellow-radnear-az180,elhigh-radnear-az090,276,67,67,,,
325,p0325,ellow-radnear-az180,elhigh-radnear-az135,272,67,71,,,
326,p0326,ellow-radnear-az180,elhigh-radnear-az180,281,59,70,,,
327,p0327,ellow-radnear-az180,elhigh-radnear-az225,266,69,75,,,
328,p0328,ellow-radnear-az180,elhigh-radnear-az270,278,63,69,,,
329,p0329,ellow-radnear-az180,elhigh-radnear-az315,275,67,68,,,
330,p0330,ellow-radnear-az180,elhigh-radmid-az000,272,56,82,,,
331,p0331,ellow-radnear-az180,elhigh-radmid-az045,282,59,69,,,
332,p0332,ellow-radnear-az180,elhigh-radmid-az090,276,61,73,,,
333,p0333,ellow-radnear-az180,elhigh-radmid-az135,276,65,69,,,
334,p0334,ellow-radnear-az180,elhigh-radmid-az180,271,70,69,,,
335,p0335,ellow-radnear-az180,elhigh-radmid-az225,265,70,75,,,
336,p0336,ellow-radnear-az180,elhigh-radmid-az270,282,62,66,,,
337,p0337,ellow-radnear-az180,elhigh-radmid-az315,285,62,63,,,
338,p0338,ellow-radnear-az180,elhigh-radfar-az000,289,53,68,,,
339,p0339,ellow-radnear-az180,elhigh-radfar-az045,258,74,78,,,
340,p0340,ellow-radnear-az180,elhigh-radfar-az090,282,60,68,,,
341,p0341,ellow-radnear-az180,elhigh-radfar-az135,288,58,64,,,
342,p0342,ellow-radnear-az180,elhigh-radfar-az180,282,64,64,,,
343,p0343,ellow-radnear-az180,elhigh-radfar-az225,285,59,66,,,
344,p0344,ellow-radnear-az180,elhigh-radfar-az270,279,62,69,,,
345,p0345,ellow-radnear-az180,elhigh-radfar-az315,279,62,69,,,
346,p0346,ellow-radnear-az225,ellow-radnear-az270,289,55,66,,,
347,p0347,ellow-radnear-az225,ellow-radnear-az315,279,66,65,,,
348,p0348,ellow-radnear-az225,ellow-radmid-az000,286,57,67,,,
349,p0349,ellow-radnear-az225,ellow-radmid-az045,282,55,73,,,
350,p0350,ellow-radnear-az225,ellow-radmid-az090,286,56,68,,,
351,p0351,ellow-radnear-az225,ellow-radmid-az135,285,59,66,,,
352,p0352,ellow-radnear-az225,ellow-radmid-az180,291,62,57,,,
353,p0353,ellow-radnear-az225,ellow-radmid-az225,294,51,65,,,
354,p0354,ellow-radnear-az225,ellow-radmid-az270,281,67,62,,,
355,p0355,ellow-radnear-az225,ellow-radmid-az315,291,50,69,,,
356,p0356,ellow-radnear-az225,ellow-radfar-az000,275,60,75,,,
357,p0357,ellow-radnear-az225,ellow-radfar-az045,287,65,58,,,
358,p0358,ellow-radnear-az225,ellow-radfar-az090,279,67,64,,,
359,p0359,ellow-radnear-az225,ellow-radfar-az135,284,54,72,,,
360,p0360,ellow-radnear-az225,ellow-radfar-az180,284,65,61,,,
361,p0361,ellow-radnear-az225,ellow-radfar-az225,280,64,66,,,
362,p0362,ellow-radnear-az225,ellow-radfar-az270,276,66,68,,,
363,p0363,ellow-radnear-az225,ellow-radfar-az315,288,58,64,,,
364,p0364,ellow-radnear-az225,elmid-radnear-az000,287,66,57,,,
365,p0365,ellow-radnear-az225,elmid-radnear-az045,277,65,68,,,
366,p0366,ellow-radnear-az225,elmid-radnear-az090,289,54,67,,,
367,p0367,ellow-radnear-az225,elmid-radnear-az135,281,50,79,,,
368,p0368,ellow-radnear-az225,elmid-radnear-az180,283,59,68,,,
369,p0369,ellow-radnear-az225,elmid-radnear-az225,285,64,61,,,
370,p0370,ellow-radnear-az225,elmid-radnear-az270,273,58,79,,,
371,p0371,ellow-radnear-az225,elmid-radnear-az315,281,60,69,,,
