image,target_class_from_filename,gt_classes,ap50_95,precision,recall,f1
C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_barrel_3-ellow-radfar-az135.png,barrel,"container,container,container,container,male,rock,tent,tree,tree,tree,tree,tree,tree,tree,tree,tree,tree,tree,whitevan,whitevan",0.616805206580693,0.24193548387096775,0.75,0.36585365853658536
C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_barrel_3-ellow-radmid-az045.png,barrel,"container,container,container,male,rock,rock,tower,whitevan",0.5171428583562374,0.23333333333333334,0.875,0.3684210526315789
C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_barrel_3-ellow-radnear-az045.png,barrel,"container,male,rock",0.9692307711602786,0.23076923076923078,1.0,0.375
C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_barrel_8-ellow-radfar-az270.png,barrel,"rock,rock,rock,rock,suv,suv,tower,tower,whitevan",0.5773333411945236,0.32,0.8888888888888888,0.47058823529411764
C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_container_22-ellow-radnear-az000.png,container,tent,1.0,1.0,1.0,1.0
C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_male12-ellow-radfar-az090.png,male,"rock,rock,suv,suv,suv,suv,suv,tent,tent,tent,tent,tower,whitevan,whitevan,whitevan",0.28575133338231584,0.17857142857142858,0.6666666666666666,0.28169014084507044
C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_male16-ellow-radfar-az315.png,male,tent,1.0,1.0,1.0,1.0
C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_male17-ellow-radfar-az270.png,male,tent,1.0,1.0,1.0,1.0
C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_male2-ellow-radmid-az225.png,male,"container,rock,whitevan",0.9111111164920859,0.3333333333333333,1.0,0.5
C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_male4-ellow-radmid-az090.png,male,"container,container,tank,tank,tent,tent,tent,tower,tower,tree,tree,tree,tree,tree,tree,tree,tree,tree,whitevan",0.3497174378723646,0.35135135135135137,0.6842105263157895,0.4642857142857143
C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_male5-ellow-radfar-az225.png,male,"container,container,container,rock,tent,tower,whitevan,whitevan",0.3973611121531576,0.08888888888888889,0.5,0.1509433962264151
C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_rock15-ellow-radfar-az000.png,rock,container,1.0,1.0,1.0,1.0
C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_rock18-ellow-radmid-az135.png,rock,tent,1.0,1.0,1.0,1.0
C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_suv12-ellow-radfar-az000.png,suv,"container,container,container,container,container,rock,rock,rock,tent,tent,tent,tower,tower,tree,tree,tree,tree,tree,tree,tree,tree,whitevan",0.6031080906955442,0.3137254901960784,0.7272727272727273,0.4383561643835617
C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_suv12-ellow-radmid-az000.png,suv,"container,container,container,container,container,tower,tree,tree,tree,tree,tree,tree,tree",0.6678998518500092,0.24528301886792453,1.0,0.393939393939394
C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_suv13_13-ellow-radmid-az270.png,suv,container,1.0,1.0,1.0,1.0
C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_suv13_13-ellow-radnear-az000.png,suv,"container,rock,rock,rock,rock,tent,tent,whitevan",0.7888221160043031,0.6153846153846154,1.0,0.761904761904762
C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_suv15-ellow-radnear-az315.png,suv,rock,1.0,0.25,1.0,0.4
C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_suv20-ellow-radfar-az045.png,suv,tent,1.0,1.0,1.0,1.0
C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_suv20-ellow-radfar-az090.png,suv,"container,container,tent,tower",0.9803571429103612,0.5714285714285714,1.0,0.7272727272727273
C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_suv20-ellow-radmid-az045.png,suv,tent,1.0,1.0,1.0,1.0
C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_suv21-ellow-radfar-az135.png,suv,container,1.0,1.0,1.0,1.0
C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_suv21-ellow-radmid-az135.png,suv,tent,1.0,1.0,1.0,1.0
C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_tank1-ellow-radnear-az270.png,tank,"container,rock,rock,tower,tree,tree,tree,tree,tree,tree,tree,tree,whitevan,whitevan",0.3105001572599601,0.24,0.8571428571428571,0.375
C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_tank19-ellow-radfar-az180.png,tank,"suv,tent,tent",0.88571429337774,0.42857142857142855,1.0,0.6
C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_tree5-ellow-radnear-az180.png,tree,tent,1.0,0.3333333333333333,1.0,0.5
C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_whitevann10-ellow-radfar-az315.png,whitevan,tent,1.0,1.0,1.0,1.0
C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_whitevann14-ellow-radnear-az180.png,whitevan,tent,1.0,1.0,1.0,1.0
C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_whitevann16-elmid-radmid-az225.png,whitevan,tower,1.0,0.3333333333333333,1.0,0.5
C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_whitevann6-ellow-radmid-az225.png,whitevan,"container,container,container,container,suv,suv,suv,tank,tank,tank,tank,tent,tent,tent,tent,tower,tower",0.2565651301040538,0.16666666666666666,0.47058823529411764,0.24615384615384617
