drone_count,method_id,method_label,method_family,question_type,scene_count,mean_scene_expected_strict_quality,delta_vs_single_reference_strict_quality,mean_scene_expected_target_ap50_95,delta_vs_single_reference_target_ap50_95,mean_scene_expected_target_found_rate,strict_quality_alias,supports_ap50_95,supports_found_rate,notes,rank_within_drone_count,relative_gain_vs_single_reference_percent,regret_vs_best_in_same_drone_count
2,threshold_2_of_2,2-of-2 confirmation,Operational threshold,Confirmation / consensus,205,0.837489253461379,-0.035661637361002696,0.7755390219023167,-0.07609626915658618,0.9635419052492223,Not the same as unanimous_best_box.,1,1,"Uses the second-best strict-quality observation, so both views must support the target.",9,-4.084246804972574,0.11403991286073989
3,noisy_or_best_iou,Noisy-OR + best IoU,Probabilistic late fusion,Probabilistic accumulation,205,0.9660583166947069,0.09290742587232514,nan,nan,nan,,0,0,Combines confidence with noisy-OR and couples it to the best matched IoU.,1,10.640477705384896,0.0
3,roy_odds_best_iou,Odds-product + best IoU,Odds-product fusion,Probabilistic corroboration,205,0.9643286214284256,0.09117773060604384,nan,nan,nan,,0,0,"Applies odds-product fusion to confidence proxies, then couples the fused probability to the best matched IoU.",2,10.442379612092891,0.0017296952662813059
3,noisy_or_mean_iou,Noisy-OR + mean IoU,Probabilistic late fusion,Probabilistic accumulation,205,0.9436079788222177,0.07045708799983597,nan,nan,nan,,0,0,Combines confidence with noisy-OR and couples it to the mean matched IoU.,3,8.069291200456268,0.02245033787248918
3,roy_odds_mean_iou,Odds-product + mean IoU,Odds-product fusion,Probabilistic corroboration,205,0.9420153467611406,0.0688644559387589,nan,nan,nan,,0,0,"Applies odds-product fusion to confidence proxies, then couples the fused probability to the mean matched IoU.",4,7.8868906465752495,0.02404296993356625
3,support_weighted_or,Support-weighted OR,Probabilistic late fusion,Conservative corroboration,205,0.9269219798162599,0.05377108899387817,nan,nan,nan,,0,0,"Adds a support-ratio penalty so corroboration matters, not only confidence accumulation.",5,6.158281410356644,0.039136336878446976
3,threshold_1_of_3,1-of-3 OR,Operational threshold,Availability / rescue,205,0.9188632969203384,0.04571240609795668,0.948707089468619,0.09707179840971614,0.9999163844285796,Same strict-quality score as best_box for 3 views.,1,1,Uses the best strict-quality observation among three views.,6,5.235338654342116,0.04719501977436846
3,best_box,Best box (max),Selection / rescue,Availability / rescue,205,0.9188632969203384,0.04571240609795668,nan,nan,nan,Equals threshold_1_of_n on strict quality.,0,0,Keeps only the strongest strict-quality target observation in the coalition.,6,5.235338654342116,0.04719501977436846
3,threshold_2_of_3,2-of-3 confirmation,Operational threshold,Confirmation / consensus,205,0.8887109907094765,0.015560099887094725,0.8857805017092296,0.03414521065032672,0.9960892765770815,,1,1,Uses the second-best strict-quality observation among three views.,7,1.7820631062334902,0.07734732598523042
3,unanimous_best_box,Unanimous best box,Strict confirmation,Confirmation / consensus,205,0.8743018239695616,0.0011509331471798445,nan,nan,nan,"Requires full support, but keeps the best strict-quality observation once that support exists.",0,0,Returns the best strict-quality observation only if every selected view supports the target.,8,0.13181377460381813,0.0917564927251453
3,mean_quality,Mean quality,Naive aggregation,Naive pooling,205,0.8731508908223817,0.0,nan,nan,nan,,0,0,Averages strict-quality values across selected views.,9,0.0,0.09290742587232514
3,threshold_3_of_3,3-of-3 unanimous,Operational threshold,Confirmation / consensus,205,0.8118783848373303,-0.061272505985051406,0.7204182819988603,-0.13121700906004263,0.9472682195852927,Not the same as unanimous_best_box for 3 views.,1,1,"Uses the third-best strict-quality observation, so all three views must support the target.",10,-7.0174017605756065,0.15417993185737655
