class_name,instance_id,train,val,test,split_count,image_count
tent,tent_17,1,1,1,3,72
tent,tent_18,1,1,1,3,72
tent,tent_2,1,1,1,3,72
tent,tent_3,1,1,1,3,72
tent,tent_4,1,1,1,3,72
tent,tent_5,1,1,1,3,72
tent,tent_6,1,1,1,3,72
tent,tent_7,1,1,1,3,72
tent,tent_8,1,1,1,3,72
tent,tent_9,1,1,1,3,72
tower,tower_1,1,1,1,3,72
tower,tower_10,1,1,1,3,72
tower,tower_11,1,1,1,3,72
tower,tower_12,1,1,1,3,72
tower,tower_13,1,1,1,3,72
tower,tower_2,1,1,1,3,72
tower,tower_3,1,1,1,3,72
tower,tower_4,1,1,1,3,72
tower,tower_5,1,1,1,3,72
tower,tower_6,1,1,1,3,72
tower,tower_7,1,1,1,3,72
tower,tower_8,1,1,1,3,72
tower,tower_9,1,1,1,3,72
tree,tree_1,1,1,1,3,72
tree,tree_10,1,1,1,3,72
tree,tree_11,1,1,1,3,72
tree,tree_12,1,1,1,3,72
tree,tree_13,1,1,1,3,72
tree,tree_14,1,1,1,3,72
tree,tree_15,1,1,1,3,72
tree,tree_16,1,1,1,3,72
tree,tree_17,1,1,1,3,72
tree,tree_18,1,1,1,3,72
tree,tree_19,1,1,1,3,72
tree,tree_2,1,1,1,3,72
tree,tree_20,1,1,1,3,72
tree,tree_21,1,1,1,3,72
tree,tree_22,1,1,1,3,72
tree,tree_23,1,1,1,3,72
tree,tree_24,1,1,1,3,72
tree,tree_25,1,1,1,3,72
tree,tree_26,1,1,1,3,72
tree,tree_27,1,1,1,3,72
tree,tree_28,1,1,1,3,72
tree,tree_29,1,1,1,3,72
tree,tree_3,1,1,1,3,72
tree,tree_30,1,1,1,3,72
tree,tree_4,1,1,1,3,72
tree,tree_5,1,1,1,3,72
tree,tree_6,1,1,1,3,72
tree,tree_7,1,1,1,3,72
tree,tree_8,1,1,1,3,72
tree,tree_9,1,1,1,3,72
whitevan,whitevan_n10,1,1,1,3,72
whitevan,whitevan_n11,1,1,1,3,72
whitevan,whitevan_n12,1,1,1,3,72
whitevan,whitevan_n13,1,1,1,3,72
whitevan,whitevan_n14,1,1,1,3,72
whitevan,whitevan_n15,1,1,1,3,72
whitevan,whitevan_n16,1,1,1,3,72
whitevan,whitevan_n17,1,1,1,3,72
whitevan,whitevan_n18,1,1,1,3,72
whitevan,whitevan_n19,1,1,1,3,72
whitevan,whitevan_n1_58,1,1,1,3,72
whitevan,whitevan_n2,1,1,1,3,72
whitevan,whitevan_n3,1,1,1,3,72
whitevan,whitevan_n4,1,1,1,3,72
whitevan,whitevan_n5,1,1,1,3,72
whitevan,whitevan_n6,1,1,1,3,72
whitevan,whitevan_n7,1,1,1,3,72
whitevan,whitevan_n8,1,1,1,3,72
whitevan,whitevan_n9,1,1,1,3,72
