scene_key,file_name,target_class,distractor_count,view_clutter_group,num_label_boxes,num_target_class_boxes,target_visible,target_detected,target_ap50_95,target_strict_quality_iou50,target_match_confidence_iou50
S0-SM_barrel_14,S0-SM_barrel_14-ellow-radnear-az000.png,barrel,3,1-4,6,3,1,1,0.9,0.8612359186219294,0.9091528654098511
S0-SM_barrel_14,S0-SM_barrel_14-ellow-radnear-az270.png,barrel,3,1-4,6,3,1,1,0.9133333360155422,0.8975281293621009,0.9320191144943237
S0-SM_barrel_14,S0-SM_barrel_14-elmid-radfar-az045.png,barrel,4,1-4,8,4,1,1,0.746875,0.7735322119447687,0.8674769401550293
S0-SM_barrel_14,S0-SM_barrel_14-elmid-radfar-az090.png,barrel,5,5-9,9,4,1,1,0.6750000011175871,0.7907951617828601,0.8328645825386047
S0-SM_barrel_14,S0-SM_barrel_14-elmid-radmid-az180.png,barrel,5,5-9,9,4,1,1,0.84375,0.8035607943386935,0.8737897872924805
S0-SM_barrel_14,S0-SM_barrel_14-elmid-radmid-az270.png,barrel,5,5-9,8,3,1,1,0.8777777794334624,0.7728300422021235,0.8576399683952332
S0-SM_barrel_14,S0-SM_barrel_14-elmid-radmid-az315.png,barrel,5,5-9,9,4,1,1,0.85,0.8151878357526314,0.8815895318984985
S0-SM_barrel_14,S0-SM_barrel_14-elmid-radnear-az270.png,barrel,3,1-4,6,3,1,1,0.7777777809235784,0.7438559599518157,0.8893471956253052
S0-SM_barrel_15,S0-SM_barrel_15-elhigh-radfar-az090.png,barrel,6,5-9,7,1,1,1,0.6,0.5523945467493974,0.7363868951797485
S0-SM_barrel_15,S0-SM_barrel_15-elhigh-radmid-az045.png,barrel,5,5-9,9,4,1,1,0.620833333581686,0.6517117710116942,0.8724834322929382
S0-SM_barrel_15,S0-SM_barrel_15-elhigh-radmid-az180.png,barrel,6,5-9,10,4,1,1,0.671875,0.7146130016331682,0.8549164533615112
S0-SM_barrel_15,S0-SM_barrel_15-elhigh-radnear-az180.png,barrel,6,5-9,10,4,1,1,0.820833333581686,0.7739498160523723,0.8550604581832886
S0-SM_barrel_15,S0-SM_barrel_15-ellow-radmid-az270.png,barrel,3,1-4,6,3,1,1,0.946666670044263,0.8863610239483641,0.927304208278656
S0-SM_barrel_15,S0-SM_barrel_15-ellow-radnear-az000.png,barrel,1,1-4,3,2,1,1,0.9,0.8344013652846058,0.898968517780304
S0-SM_barrel_15,S0-SM_barrel_15-ellow-radnear-az090.png,barrel,21,10+,25,4,1,1,0.6107142876833678,0.8496616509297183,0.8796665072441101
S0-SM_barrel_15,S0-SM_barrel_15-ellow-radnear-az135.png,barrel,16,10+,20,4,1,1,0.8362500004470348,0.8200342121454369,0.894161581993103
S0-SM_barrel_15,S0-SM_barrel_15-elmid-radmid-az000.png,barrel,5,5-9,8,3,1,1,0.805555557873514,0.7701348231764982,0.8758214116096497
S0-SM_barrel_15,S0-SM_barrel_15-elmid-radnear-az270.png,barrel,2,1-4,4,2,1,1,0.7375,0.7594142115154838,0.8981398940086365
S0-SM_barrel_16,S0-SM_barrel_16-elhigh-radfar-az180.png,barrel,6,5-9,7,1,1,1,0.9,0.7498351664030096,0.8021355271339417
S0-SM_barrel_16,S0-SM_barrel_16-elhigh-radfar-az270.png,barrel,7,5-9,8,1,1,1,0.8,0.659117614410647,0.7594624161720276
S0-SM_barrel_16,S0-SM_barrel_16-elhigh-radmid-az090.png,barrel,7,5-9,9,2,1,1,0.7,0.6710782148973777,0.8311002254486084
S0-SM_barrel_16,S0-SM_barrel_16-elhigh-radnear-az000.png,barrel,6,5-9,7,1,1,1,0.8,0.6888542379039109,0.8099997043609619
S0-SM_barrel_16,S0-SM_barrel_16-elhigh-radnear-az225.png,barrel,3,1-4,4,1,1,1,0.6,0.6290193850321089,0.8037514686584473
S0-SM_barrel_16,S0-SM_barrel_16-ellow-radfar-az270.png,barrel,4,1-4,4,0,0,0,0.0,0.0,0.0
S0-SM_barrel_16,S0-SM_barrel_16-ellow-radmid-az000.png,barrel,21,10+,21,0,0,0,0.0,0.0,0.0
S0-SM_barrel_16,S0-SM_barrel_16-ellow-radnear-az090.png,barrel,8,5-9,10,2,1,1,0.8625,0.8295472586863042,0.900147020816803
S0-SM_barrel_17,S0-SM_barrel_17-elhigh-radmid-az180.png,barrel,7,5-9,9,2,1,1,0.7,0.6843307664581744,0.8140897750854492
S0-SM_barrel_17,S0-SM_barrel_17-elhigh-radmid-az270.png,barrel,8,5-9,9,1,1,1,0.7,0.6494846793115983,0.8075883984565735
S0-SM_barrel_17,S0-SM_barrel_17-ellow-radfar-az045.png,barrel,29,10+,30,1,1,1,0.8,0.6830125925068842,0.7995796203613281
S0-SM_barrel_17,S0-SM_barrel_17-ellow-radfar-az270.png,barrel,7,5-9,7,0,0,0,0.0,0.0,0.0
S0-SM_barrel_17,S0-SM_barrel_17-ellow-radmid-az045.png,barrel,26,10+,27,1,1,1,0.8,0.7564038521215011,0.8515864610671997
S0-SM_barrel_17,S0-SM_barrel_17-ellow-radnear-az000.png,barrel,7,5-9,7,0,0,0,0.0,0.0,0.0
S0-SM_barrel_17,S0-SM_barrel_17-elmid-radfar-az090.png,barrel,7,5-9,8,1,1,1,0.6,0.6115803375540807,0.7804728746414185
S0-SM_barrel_17,S0-SM_barrel_17-elmid-radmid-az090.png,barrel,6,5-9,7,1,1,1,0.8,0.7341694836151795,0.8341562151908875
S0-SM_barrel_17,S0-SM_barrel_17-elmid-radnear-az045.png,barrel,3,1-4,4,1,1,1,0.8,0.7759769670251657,0.8726874589920044
S0-SM_barrel_17,S0-SM_barrel_17-elmid-radnear-az225.png,barrel,5,5-9,6,1,1,1,0.9,0.797081332070622,0.8655728697776794
S0-SM_barrel_18,S0-SM_barrel_18-elhigh-radfar-az135.png,barrel,2,1-4,3,1,1,1,0.8,0.6113819963685536,0.7096485495567322
S0-SM_barrel_18,S0-SM_barrel_18-elhigh-radfar-az225.png,barrel,3,1-4,5,2,1,1,0.47500000074505805,0.5482927501633483,0.714583694934845
S0-SM_barrel_18,S0-SM_barrel_18-elhigh-radmid-az135.png,barrel,2,1-4,4,2,1,1,0.37916666753590106,0.6478357859107149,0.7660590410232544
S0-SM_barrel_18,S0-SM_barrel_18-ellow-radfar-az000.png,barrel,23,10+,25,2,1,1,0.854166666790843,0.8356025820243147,0.8964236378669739
S0-SM_barrel_18,S0-SM_barrel_18-ellow-radmid-az225.png,barrel,18,10+,20,2,1,1,0.716666667163372,0.7476102233328064,0.8436590433120728
S0-SM_barrel_18,S0-SM_barrel_18-ellow-radnear-az225.png,barrel,18,10+,20,2,1,1,0.78125,0.8742961433376095,0.9048136472702026
S0-SM_barrel_18,S0-SM_barrel_18-elmid-radmid-az270.png,barrel,3,1-4,5,2,1,1,0.525,0.7010539076988707,0.8404658436775208
S0-SM_barrel_18,S0-SM_barrel_18-elmid-radmid-az315.png,barrel,2,1-4,4,2,1,1,0.775,0.6908093783445466,0.8396915197372437
S0-SM_barrel_18,S0-SM_barrel_18-elmid-radnear-az135.png,barrel,2,1-4,4,2,1,1,0.9100000001490116,0.8414552679648217,0.8710120320320129
S0-SM_barrel_19,S0-SM_barrel_19-elhigh-radfar-az090.png,barrel,3,1-4,5,2,1,1,0.7300000000745058,0.7118197277620908,0.8400526642799377
S0-SM_barrel_19,S0-SM_barrel_19-elhigh-radfar-az315.png,barrel,4,1-4,6,2,1,1,0.8125,0.764204805997192,0.8052944540977478
S0-SM_barrel_19,S0-SM_barrel_19-elhigh-radnear-az270.png,barrel,3,1-4,4,1,1,1,0.7,0.7004514683255536,0.8434179425239563
S0-SM_barrel_19,S0-SM_barrel_19-ellow-radfar-az000.png,barrel,29,10+,31,2,1,1,0.66875,0.7451860520551996,0.8344094157218933
S0-SM_barrel_19,S0-SM_barrel_19-ellow-radfar-az045.png,barrel,9,5-9,11,2,1,1,0.4875,0.6409130435279558,0.8073862195014954
S0-SM_barrel_19,S0-SM_barrel_19-ellow-radfar-az270.png,barrel,20,10+,22,2,1,1,0.6,0.6434143327855324,0.8389841318130493
S0-SM_barrel_19,S0-SM_barrel_19-ellow-radmid-az045.png,barrel,15,10+,17,2,1,1,0.565625,0.7427997912709188,0.8584572076797485
S0-SM_barrel_19,S0-SM_barrel_19-ellow-radmid-az225.png,barrel,14,10+,16,2,1,1,0.758333333581686,0.7711759699132159,0.8785010576248169
S0-SM_barrel_19,S0-SM_barrel_19-elmid-radfar-az135.png,barrel,3,1-4,5,2,1,1,0.075,0.4294657175999532,0.7911367416381836
S0-SM_barrel_2,S0-SM_barrel_2-elhigh-radmid-az135.png,barrel,3,1-4,4,1,1,1,0.7,0.6587058528872163,0.8146165609359741
S0-SM_barrel_2,S0-SM_barrel_2-elhigh-radnear-az315.png,barrel,3,1-4,4,1,1,1,0.7,0.6814657992028899,0.8404015302658081
S0-SM_barrel_2,S0-SM_barrel_2-ellow-radfar-az225.png,barrel,4,1-4,5,1,1,1,0.5,0.5711065971059739,0.7949925661087036
S0-SM_barrel_2,S0-SM_barrel_2-ellow-radfar-az270.png,barrel,21,10+,21,0,0,0,0.0,0.0,0.0
S0-SM_barrel_2,S0-SM_barrel_2-ellow-radfar-az315.png,barrel,5,5-9,5,0,0,0,0.0,0.0,0.0
S0-SM_barrel_2,S0-SM_barrel_2-ellow-radmid-az180.png,barrel,5,5-9,5,0,0,0,0.0,0.0,0.0
S0-SM_barrel_2,S0-SM_barrel_2-ellow-radnear-az000.png,barrel,5,5-9,6,1,1,1,0.9,0.8452909557036854,0.898469865322113
S0-SM_barrel_2,S0-SM_barrel_2-elmid-radfar-az045.png,barrel,4,1-4,5,1,1,1,0.8,0.7309667700202169,0.8310649991035461
S0-SM_barrel_2,S0-SM_barrel_2-elmid-radfar-az090.png,barrel,3,1-4,4,1,1,1,0.7,0.6892596474973303,0.8195125460624695
S0-SM_barrel_2,S0-SM_barrel_2-elmid-radfar-az225.png,barrel,3,1-4,4,1,1,1,0.9,0.7515894601805684,0.8099022507667542
S0-SM_barrel_2,S0-SM_barrel_2-elmid-radmid-az225.png,barrel,3,1-4,4,1,1,1,0.6,0.6544492271792137,0.8460526466369629
S0-SM_barrel_2,S0-SM_barrel_2-elmid-radnear-az045.png,barrel,3,1-4,4,1,1,1,0.9,0.7809960756522436,0.8659003376960754
S0-SM_barrel_2,S0-SM_barrel_2-elmid-radnear-az090.png,barrel,3,1-4,4,1,1,1,0.8,0.7429655164618794,0.8654227256774902
S0-SM_barrel_2,S0-SM_barrel_2-elmid-radnear-az225.png,barrel,3,1-4,4,1,1,1,0.8,0.7602673026634754,0.8648958802223206
S0-SM_barrel_20,S0-SM_barrel_20-elhigh-radmid-az270.png,barrel,7,5-9,8,1,1,1,0.6,0.6424156107867951,0.8137688040733337
S0-SM_barrel_20,S0-SM_barrel_20-elhigh-radnear-az315.png,barrel,5,5-9,7,2,1,1,0.7625,0.7303716481833185,0.8217177987098694
S0-SM_barrel_20,S0-SM_barrel_20-ellow-radfar-az000.png,barrel,15,10+,17,2,1,1,0.525,0.6907488728927333,0.8340479135513306
S0-SM_barrel_20,S0-SM_barrel_20-ellow-radfar-az225.png,barrel,1,1-4,1,0,0,0,0.0,0.0,0.0
S0-SM_barrel_20,S0-SM_barrel_20-ellow-radmid-az045.png,barrel,14,10+,16,2,1,1,0.75625,0.7742338137180127,0.8684048056602478
S0-SM_barrel_20,S0-SM_barrel_20-elmid-radfar-az180.png,barrel,5,5-9,6,1,1,1,0.6,0.6537628711133721,0.8458847999572754
S0-SM_barrel_20,S0-SM_barrel_20-elmid-radfar-az315.png,barrel,9,5-9,11,2,1,1,0.716666667163372,0.7201036946884471,0.832405149936676
S0-SM_barrel_20,S0-SM_barrel_20-elmid-radmid-az000.png,barrel,11,10+,13,2,1,1,0.816666667163372,0.7971033192301391,0.8290773630142212
S0-SM_barrel_20,S0-SM_barrel_20-elmid-radnear-az135.png,barrel,4,1-4,5,1,1,1,1.0,0.8439359534883373,0.8702009320259094
S0-SM_barrel_20,S0-SM_barrel_20-elmid-radnear-az180.png,barrel,3,1-4,4,1,1,1,0.8,0.7584491434906582,0.8543983101844788
S0-SM_barrel_21,S0-SM_barrel_21-elhigh-radfar-az000.png,barrel,8,5-9,9,1,1,1,0.8,0.6789681384816468,0.7662369608879089
S0-SM_barrel_21,S0-SM_barrel_21-elhigh-radmid-az225.png,barrel,11,10+,12,1,1,1,0.6,0.6473322198046816,0.8282104134559631
S0-SM_barrel_21,S0-SM_barrel_21-elhigh-radnear-az270.png,barrel,7,5-9,8,1,1,1,0.8,0.6999853509955543,0.8158513307571411
S0-SM_barrel_21,S0-SM_barrel_21-ellow-radfar-az000.png,barrel,3,1-4,3,0,0,0,0.0,0.0,0.0
S0-SM_barrel_21,S0-SM_barrel_21-ellow-radfar-az180.png,barrel,11,10+,13,2,1,1,0.525,0.6508480747087511,0.7962588667869568
S0-SM_barrel_21,S0-SM_barrel_21-ellow-radnear-az045.png,barrel,12,10+,13,1,1,1,0.9,0.8328028232653466,0.8941506147384644
S0-SM_barrel_21,S0-SM_barrel_21-ellow-radnear-az270.png,barrel,2,1-4,3,1,1,1,0.9,0.835887248149163,0.8850893974304199
S0-SM_barrel_21,S0-SM_barrel_21-elmid-radfar-az090.png,barrel,18,10+,19,1,1,1,0.8,0.7646645261676142,0.8596784472465515
S0-SM_barrel_21,S0-SM_barrel_21-elmid-radmid-az000.png,barrel,6,5-9,7,1,1,1,0.9,0.771249567547585,0.8452466130256653
S0-SM_barrel_21,S0-SM_barrel_21-elmid-radmid-az045.png,barrel,8,5-9,9,1,1,1,0.7,0.709256168098463,0.8526197671890259
S0-SM_barrel_21,S0-SM_barrel_21-elmid-radmid-az180.png,barrel,13,10+,15,2,1,1,0.8,0.7524378686190829,0.8402044773101807
S0-SM_barrel_21,S0-SM_barrel_21-elmid-radmid-az270.png,barrel,8,5-9,9,1,1,1,0.9,0.775101628767203,0.8568388223648071
S0-SM_barrel_3,S0-SM_barrel_3-elhigh-radfar-az225.png,barrel,4,1-4,5,1,1,1,0.7,0.6582441980858533,0.7919585704803467
S0-SM_barrel_3,S0-SM_barrel_3-elhigh-radmid-az180.png,barrel,4,1-4,5,1,1,1,0.6,0.6474141586644322,0.8157002925872803
S0-SM_barrel_3,S0-SM_barrel_3-ellow-radfar-az135.png,barrel,20,10+,20,0,0,0,0.0,0.0,0.0
S0-SM_barrel_3,S0-SM_barrel_3-ellow-radmid-az000.png,barrel,4,1-4,5,1,1,1,0.7,0.7273813720337863,0.8696511387825012
S0-SM_barrel_3,S0-SM_barrel_3-ellow-radmid-az045.png,barrel,8,5-9,8,0,0,0,0.0,0.0,0.0
S0-SM_barrel_3,S0-SM_barrel_3-ellow-radnear-az045.png,barrel,3,1-4,3,0,0,0,0.0,0.0,0.0
S0-SM_barrel_3,S0-SM_barrel_3-ellow-radnear-az180.png,barrel,16,10+,17,1,1,1,0.9,0.8068349198759925,0.8799893260002136
S0-SM_barrel_3,S0-SM_barrel_3-elmid-radmid-az270.png,barrel,3,1-4,4,1,1,1,0.7,0.7004900209797427,0.8374295234680176
S0-SM_barrel_3,S0-SM_barrel_3-elmid-radnear-az180.png,barrel,3,1-4,4,1,1,1,1.0,0.8205539977645913,0.8569204211235046
S0-SM_barrel_3,S0-SM_barrel_3-elmid-radnear-az315.png,barrel,2,1-4,3,1,1,1,0.9,0.8124765648357624,0.8653852939605713
S0-SM_barrel_4,S0-SM_barrel_4-elhigh-radfar-az180.png,barrel,1,1-4,4,3,1,1,0.522222232984172,0.7540234268254551,0.8301306366920471
S0-SM_barrel_4,S0-SM_barrel_4-elhigh-radnear-az135.png,barrel,1,1-4,2,1,1,1,0.8,0.7032060659612718,0.8043424487113953
S0-SM_barrel_4,S0-SM_barrel_4-ellow-radfar-az000.png,barrel,5,5-9,8,3,1,1,0.7250000022351741,0.7091601480512821,0.8466606736183167
S0-SM_barrel_4,S0-SM_barrel_4-ellow-radmid-az045.png,barrel,5,5-9,9,4,1,1,0.7645833335816861,0.8588387556472874,0.9213637709617615
S0-SM_barrel_4,S0-SM_barrel_4-ellow-radmid-az270.png,barrel,12,10+,15,3,1,1,0.5564814874971354,0.6887568684458039,0.8625221848487854
S0-SM_barrel_4,S0-SM_barrel_4-ellow-radnear-az045.png,barrel,5,5-9,8,3,1,1,0.7000000059604645,0.8153166387863529,0.9159666895866394
S0-SM_barrel_4,S0-SM_barrel_4-ellow-radnear-az090.png,barrel,6,5-9,9,3,1,1,0.9133333360155422,0.9009891585755092,0.9473857283592224
S0-SM_barrel_4,S0-SM_barrel_4-ellow-radnear-az180.png,barrel,13,10+,15,2,1,1,0.9,0.8502012373153747,0.8986071348190308
S0-SM_barrel_4,S0-SM_barrel_4-ellow-radnear-az315.png,barrel,2,1-4,5,3,1,1,0.8194444449825419,0.8019473439856029,0.8963336944580078
S0-SM_barrel_4,S0-SM_barrel_4-elmid-radfar-az045.png,barrel,4,1-4,8,4,1,1,0.7875000002793968,0.776865264832935,0.8614858388900757
S0-SM_barrel_4,S0-SM_barrel_4-elmid-radfar-az225.png,barrel,1,1-4,3,2,1,1,0.8625,0.7551145394796528,0.8246211409568787
S0-SM_barrel_4,S0-SM_barrel_4-elmid-radmid-az045.png,barrel,3,1-4,6,3,1,1,0.7592592613840544,0.7628251095692384,0.8740506768226624
S0-SM_barrel_4,S0-SM_barrel_4-elmid-radmid-az135.png,barrel,1,1-4,2,1,1,1,0.9,0.8299292449612139,0.8867248892784119
S0-SM_barrel_4,S0-SM_barrel_4-elmid-radmid-az180.png,barrel,1,1-4,4,3,1,1,0.6833333350718022,0.7626102395805745,0.8493691682815552
S0-SM_barrel_4,S0-SM_barrel_4-elmid-radmid-az315.png,barrel,2,1-4,5,3,1,1,0.744444451812241,0.6690084466943702,0.8475968241691589
S0-SM_barrel_4,S0-SM_barrel_4-elmid-radnear-az090.png,barrel,1,1-4,2,1,1,1,0.9,0.7518158862620474,0.822599470615387
S0-SM_barrel_5,S0-SM_barrel_5-elhigh-radmid-az000.png,barrel,1,1-4,2,1,1,1,0.7,0.6673382843692366,0.8304319381713867
S0-SM_barrel_5,S0-SM_barrel_5-elhigh-radmid-az135.png,barrel,1,1-4,2,1,1,1,0.6,0.6386453377883718,0.8024752736091614
S0-SM_barrel_5,S0-SM_barrel_5-elhigh-radmid-az270.png,barrel,1,1-4,2,1,1,1,0.7,0.6712666042456554,0.8179684281349182
S0-SM_barrel_5,S0-SM_barrel_5-elhigh-radnear-az045.png,barrel,1,1-4,2,1,1,1,0.8,0.7123035355466456,0.8284043669700623
S0-SM_barrel_5,S0-SM_barrel_5-ellow-radfar-az180.png,barrel,18,10+,19,1,1,1,0.5,0.5917605605791607,0.7926511168479919
S0-SM_barrel_5,S0-SM_barrel_5-ellow-radmid-az180.png,barrel,21,10+,22,1,1,1,0.6,0.6681122305448071,0.8611894845962524
S0-SM_barrel_5,S0-SM_barrel_5-ellow-radnear-az045.png,barrel,0,0,1,1,1,1,0.9,0.8346387710372127,0.8874925374984741
S0-SM_barrel_5,S0-SM_barrel_5-elmid-radfar-az000.png,barrel,1,1-4,2,1,1,1,0.7,0.6814616568724219,0.828278124332428
S0-SM_barrel_5,S0-SM_barrel_5-elmid-radfar-az180.png,barrel,5,5-9,6,1,1,1,0.6,0.6442869342746391,0.8279370069503784
S0-SM_barrel_5,S0-SM_barrel_5-elmid-radmid-az090.png,barrel,0,0,1,1,1,1,0.8,0.7334617812655821,0.8248156905174255
S0-SM_barrel_5,S0-SM_barrel_5-elmid-radmid-az225.png,barrel,3,1-4,4,1,1,1,0.8,0.7229196177512698,0.8474430441856384
S0-SM_barrel_5,S0-SM_barrel_5-elmid-radmid-az315.png,barrel,3,1-4,4,1,1,1,0.8,0.7339496946078441,0.8364083766937256
S0-SM_barrel_6,S0-SM_barrel_6-elhigh-radfar-az045.png,barrel,2,1-4,5,3,1,1,0.6388888941870796,0.6118216001928829,0.8445103168487549
S0-SM_barrel_6,S0-SM_barrel_6-elhigh-radfar-az225.png,barrel,1,1-4,3,2,1,1,0.8625,0.7597126989689293,0.8318060040473938
S0-SM_barrel_6,S0-SM_barrel_6-elhigh-radmid-az000.png,barrel,2,1-4,5,3,1,1,0.7444444456034237,0.7101032261313378,0.8240078687667847
S0-SM_barrel_6,S0-SM_barrel_6-elhigh-radmid-az045.png,barrel,1,1-4,4,3,1,1,0.6095238125749997,0.6927554113527208,0.8316989541053772
