viewpoint_1,viewpoint_2,combination_label,scene_count,mean_best_pair_strict_quality,best_individual_mean_strict_quality_on_matched_scenes,pair_synergy_strict,mean_best_pair_AP50_95,elevation_pattern,radius_pattern,azimuth_pattern,unique_elevation_count,unique_radius_count,unique_azimuth_count,max_pairwise_azimuth_gap,mean_pairwise_azimuth_gap,radius_relationship,elevation_relationship,azimuth_relationship,diversity_type,diversity_factor_count
ellow-radmid-az135,elmid-radnear-az090,ellow-radmid-az135 + elmid-radnear-az090,5,0.8996898252963504,0.8698433426514022,0.02984648264494827,0.9343734344586097,low + mid,near + mid,090 + 135,2,2,2,45,45.0,adjacent_radius,adjacent_elevation,adjacent_45,distance+elevation+azimuth,3
elmid-radfar-az045,elhigh-radfar-az000,elmid-radfar-az045 + elhigh-radfar-az000,7,0.8885828954153426,0.8587913579637123,0.029791537451630323,0.8844337292923484,mid + high,far,000 + 045,2,1,2,45,45.0,same_radius,adjacent_elevation,adjacent_45,elevation+azimuth,2
ellow-radmid-az180,elhigh-radmid-az135,ellow-radmid-az180 + elhigh-radmid-az135,7,0.8507171462009216,0.8209342666705979,0.02978287953032377,0.8857142857142858,low + high,mid,135 + 180,2,1,2,45,45.0,same_radius,low_high,adjacent_45,elevation+azimuth,2
ellow-radnear-az135,elmid-radmid-az000,ellow-radnear-az135 + elmid-radmid-az000,7,0.9231478637288107,0.8933657932398437,0.029782070488967083,0.9239438800185311,low + mid,near + mid,000 + 135,2,2,2,135,135.0,adjacent_radius,adjacent_elevation,diagonal_135,distance+elevation+azimuth,3
ellow-radnear-az090,elmid-radmid-az270,ellow-radnear-az090 + elmid-radmid-az270,7,0.9368343248098411,0.9073450301449739,0.02948929466486716,0.9496428575686046,low + mid,near + mid,090 + 270,2,2,2,180,180.0,adjacent_radius,adjacent_elevation,opposite_180,distance+elevation+azimuth,3
ellow-radmid-az045,elmid-radmid-az045,ellow-radmid-az045 + elmid-radmid-az045,4,0.9208882921994963,0.891487116151394,0.02940117604810233,0.9411458333954215,low + mid,mid,045,2,1,1,0,0.0,same_radius,adjacent_elevation,same_azimuth,elevation_only,1
ellow-radnear-az000,ellow-radmid-az225,ellow-radnear-az000 + ellow-radmid-az225,6,0.8655813664423739,0.8362197850237928,0.02936158141858114,0.8224264706795413,low,near + mid,000 + 225,1,2,2,135,135.0,adjacent_radius,same_elevation,diagonal_135,distance+azimuth,2
ellow-radmid-az090,elmid-radnear-az135,ellow-radmid-az090 + elmid-radnear-az135,4,0.952151919176023,0.9228272772387074,0.029324641937315654,0.9390625,low + mid,near + mid,090 + 135,2,2,2,45,45.0,adjacent_radius,adjacent_elevation,adjacent_45,distance+elevation+azimuth,3
ellow-radnear-az045,elhigh-radfar-az045,ellow-radnear-az045 + elhigh-radfar-az045,5,0.9272856448806295,0.89829080480079,0.028994840079839435,0.9800000000000001,low + high,near + far,045,2,2,1,0,0.0,near_far,low_high,same_azimuth,distance+elevation,2
ellow-radnear-az315,ellow-radfar-az045,ellow-radnear-az315 + ellow-radfar-az045,4,0.9382800638662312,0.9095277243570861,0.02875233950914513,0.8560763897167312,low,near + far,045 + 315,1,2,2,90,90.0,near_far,same_elevation,quarter_turn_90,distance+azimuth,2
ellow-radmid-az090,elmid-radnear-az090,ellow-radmid-az090 + elmid-radnear-az090,5,0.9312748907302314,0.9027844069028326,0.028490483827398827,0.9775,low + mid,near + mid,090,2,2,1,0,0.0,adjacent_radius,adjacent_elevation,same_azimuth,distance+elevation,2
ellow-radnear-az315,elmid-radmid-az000,ellow-radnear-az315 + elmid-radmid-az000,4,0.9082560827808219,0.8797867307373206,0.028469352043501317,0.8800000000745059,low + mid,near + mid,000 + 315,2,2,2,45,45.0,adjacent_radius,adjacent_elevation,adjacent_45,distance+elevation+azimuth,3
ellow-radfar-az090,elhigh-radmid-az225,ellow-radfar-az090 + elhigh-radmid-az225,5,0.8445241163338928,0.816193625783523,0.028330490550369847,0.8491198985430659,low + high,mid + far,090 + 225,2,2,2,135,135.0,adjacent_radius,low_high,diagonal_135,distance+elevation+azimuth,3
ellow-radnear-az270,elhigh-radnear-az315,ellow-radnear-az270 + elhigh-radnear-az315,5,0.9206837576241866,0.8924056680297682,0.028278089594418465,0.96,low + high,near,270 + 315,2,1,2,45,45.0,same_radius,low_high,adjacent_45,elevation+azimuth,2
ellow-radfar-az315,elhigh-radfar-az135,ellow-radfar-az315 + elhigh-radfar-az135,4,0.8777268063422454,0.8495086250561856,0.028218181286059796,0.8533141380096565,low + high,far,135 + 315,2,1,2,180,180.0,same_radius,low_high,opposite_180,elevation+azimuth,2
ellow-radnear-az270,elmid-radnear-az315,ellow-radnear-az270 + elmid-radnear-az315,7,0.9424961782094928,0.9142871344217939,0.02820904378769895,0.9626984130650286,low + mid,near,270 + 315,2,1,2,45,45.0,same_radius,adjacent_elevation,adjacent_45,elevation+azimuth,2
ellow-radnear-az180,elmid-radfar-az180,ellow-radnear-az180 + elmid-radfar-az180,9,0.9439681100695927,0.9158413708404586,0.028126739229134112,0.9260451756509733,low + mid,near + far,180,2,2,1,0,0.0,near_far,adjacent_elevation,same_azimuth,distance+elevation,2
ellow-radfar-az000,elmid-radnear-az225,ellow-radfar-az000 + elmid-radnear-az225,6,0.9229159947194733,0.8948329729303316,0.028083021789141682,0.8434670240016332,low + mid,near + far,000 + 225,2,2,2,135,135.0,near_far,adjacent_elevation,diagonal_135,distance+elevation+azimuth,3
ellow-radfar-az135,ellow-radfar-az225,ellow-radfar-az135 + ellow-radfar-az225,5,0.8074929953571655,0.7795921334135748,0.02790086194359065,0.8612121217991368,low,far,135 + 225,1,1,2,90,90.0,same_radius,same_elevation,quarter_turn_90,azimuth_only,1
elmid-radmid-az315,elmid-radfar-az315,elmid-radmid-az315 + elmid-radfar-az315,4,0.9451376509938498,0.9173472968959437,0.02779035409790609,0.9078327228787546,mid,mid + far,315,1,2,1,0,0.0,adjacent_radius,same_elevation,same_azimuth,distance_only,1
ellow-radmid-az225,ellow-radfar-az270,ellow-radmid-az225 + ellow-radfar-az270,5,0.7849263890115552,0.7571426218504342,0.027783767161120965,0.6907777808143033,low,mid + far,225 + 270,1,2,2,45,45.0,adjacent_radius,same_elevation,adjacent_45,distance+azimuth,2
ellow-radnear-az315,elhigh-radfar-az090,ellow-radnear-az315 + elhigh-radfar-az090,6,0.9412092980711014,0.913762846383476,0.027446451687625384,0.9833333333333334,low + high,near + far,090 + 315,2,2,2,135,135.0,near_far,low_high,diagonal_135,distance+elevation+azimuth,3
ellow-radnear-az315,ellow-radmid-az180,ellow-radnear-az315 + ellow-radmid-az180,4,0.9460150621895691,0.9187107038401763,0.02730435834939282,0.855343137976403,low,near + mid,180 + 315,1,2,2,135,135.0,adjacent_radius,same_elevation,diagonal_135,distance+azimuth,2
ellow-radfar-az000,elmid-radmid-az315,ellow-radfar-az000 + elmid-radmid-az315,5,0.874554389193964,0.8473181160210388,0.027236273172925207,0.90772222401864,low + mid,mid + far,000 + 315,2,2,2,45,45.0,adjacent_radius,adjacent_elevation,adjacent_45,distance+elevation+azimuth,3
ellow-radfar-az000,elmid-radfar-az090,ellow-radfar-az000 + elmid-radfar-az090,7,0.8970086829588405,0.8700886867999361,0.02691999615890439,0.9019557837016728,low + mid,far,000 + 090,2,1,2,90,90.0,same_radius,adjacent_elevation,quarter_turn_90,elevation+azimuth,2
ellow-radnear-az090,elhigh-radfar-az225,ellow-radnear-az090 + elhigh-radfar-az225,4,0.9678355635564531,0.9409551917161609,0.026880371840292128,0.9940000003427267,low + high,near + far,090 + 225,2,2,2,135,135.0,near_far,low_high,diagonal_135,distance+elevation+azimuth,3
ellow-radmid-az045,elmid-radnear-az270,ellow-radmid-az045 + elmid-radnear-az270,7,0.9045137321814067,0.8777028234944544,0.02681090868695235,0.9485119047973837,low + mid,near + mid,045 + 270,2,2,2,135,135.0,adjacent_radius,adjacent_elevation,diagonal_135,distance+elevation+azimuth,3
ellow-radmid-az225,elhigh-radnear-az270,ellow-radmid-az225 + elhigh-radnear-az270,5,0.9132803345723651,0.8864887465134821,0.026791588058883042,0.9310416667908431,low + high,near + mid,225 + 270,2,2,2,45,45.0,adjacent_radius,low_high,adjacent_45,distance+elevation+azimuth,3
ellow-radfar-az135,elhigh-radmid-az270,ellow-radfar-az135 + elhigh-radmid-az270,5,0.8384152519192156,0.8117745510591717,0.026640700860043887,0.850051190893352,low + high,mid + far,135 + 270,2,2,2,135,135.0,adjacent_radius,low_high,diagonal_135,distance+elevation+azimuth,3
ellow-radnear-az315,elhigh-radnear-az270,ellow-radnear-az315 + elhigh-radnear-az270,6,0.9298865463076762,0.9036325963264188,0.026253949981257407,0.9540277778481444,low + high,near,270 + 315,2,1,2,45,45.0,same_radius,low_high,adjacent_45,elevation+azimuth,2
ellow-radnear-az000,elhigh-radfar-az135,ellow-radnear-az000 + elhigh-radfar-az135,5,0.9531773432658696,0.9269850098084141,0.02619233345745542,0.9582227387215765,low + high,near + far,000 + 135,2,2,2,135,135.0,near_far,low_high,diagonal_135,distance+elevation+azimuth,3
ellow-radmid-az090,elhigh-radnear-az225,ellow-radmid-az090 + elhigh-radnear-az225,8,0.903922189111106,0.8777847806081365,0.026137408502969528,0.9354885069248391,low + high,near + mid,090 + 225,2,2,2,135,135.0,adjacent_radius,low_high,diagonal_135,distance+elevation+azimuth,3
